Sr No,Name,Address,Occupation,State,Unit1,Unit2,Unit3,Unit4,Unit5
216,Sylvia Foulston,Hon Multipurpose Stacking Arm Chairs,Chairs & Chairmats,Northwest Territories,24743,176.67,216.6,64.2,0.59
217,Sylvia Foulston,Hon Olson Stacker Stools,Chairs & Chairmats,Northwest Territories,24743,753.61,140.81,24.49,0.57
218,Carl Ludwig,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,Northwest Territories,24871,75.3,22.72,8.99,0.44
219,Julia West,12-1/2 Diameter Round Wall Clock,Office Furnishings,Northwest Territories,25318,-65.18,19.98,10.49,0.49
220,Don Jones,Epson DFX5000+ Dot Matrix Printer,Office Machines,Northwest Territories,25377,-3755.03,1500.97,29.7,0.57
221,Mike Pelletier,"Fellowes Basic 104-Key Keyboard, Platinum",Computer Peripherals,Northwest Territories,25634,28.99,20.95,4,0.6
222,Mike Pelletier,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Envelopes,Northwest Territories,25634,185.32,23.99,6.71,0.35
223,Eugene Barchas,GBC Standard Therm-A-Bind Covers,Binders and Binder Accessories,Northwest Territories,25733,-42.99,24.92,12.98,0.39
224,Ann Chong,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,Northwest Territories,25767,-59.2,39.48,1.99,0.54
225,Ann Chong,Xerox 1892,Paper,Northwest Territories,25767,108.01,38.76,13.26,0.36
226,Charles McCrossin,Staples Paper Clips,Rubber Bands,Northwest Territories,26023,19.86,2.47,1.02,0.38
227,Annie Cyprus,"Metal Folding Chairs, Beige, 4/Carton",Chairs & Chairmats,Northwest Territories,26051,-127.39,33.94,19.19,0.58
228,Annie Cyprus,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Computer Peripherals,Northwest Territories,26051,22.46,8.33,1.99,0.52
229,Carlos Soltero,Computer Printout Paper with Letter-Trim Perforations,Paper,Northwest Territories,26116,81.71,18.97,9.03,0.37
230,Doug Bickford,Bush Mission Pointe Library,Bookcases,Northwest Territories,26182,-549.27,150.98,66.27,0.65
231,Carlos Daly,Hon Olson Stacker Stools,Chairs & Chairmats,Northwest Territories,26272,-4.19,140.81,24.49,0.57
232,Fred Wasserman,Xerox 1929,Paper,Northwest Territories,26370,52.02,22.84,5.47,0.39
233,Fred Wasserman,Home/Office Personal File Carts,Storage & Organization,Northwest Territories,26370,63.83,34.76,5.49,0.6
234,Sylvia Foulston,Avery 507,Labels,Northwest Territories,26499,8.78,2.88,0.5,0.39
235,Michelle Lonsdale,i470,Telephones and Communication,Northwest Territories,26531,1215.44,205.99,5.26,0.56
236,Sylvia Foulston,3M Organizer Strips,Binders and Binder Accessories,Northwest Territories,26567,-44.07,5.4,7.78,0.37
237,Sylvia Foulston,"Imation 3.5 IBM Diskettes, 10/Box",Computer Peripherals,Northwest Territories,26567,-100.51,8.46,8.99,0.79
238,Sylvia Foulston,"GE 4 Foot Flourescent Tube, 40 Watt",Office Furnishings,Northwest Territories,26567,-17.75,14.98,8.99,0.39
239,Sylvia Foulston,300 Series Non-Flip,Telephones and Communication,Northwest Territories,26567,1374.95,155.99,8.08,0.6
240,Charlotte Melton,"Executive Impressions 13"" Chairman Wall Clock",Office Furnishings,Northwest Territories,26854,-12.95,25.38,8.99,0.5
241,Barry French,Micro Innovations 104 Keyboard,Computer Peripherals,Northwest Territories,27109,-154.66,10.97,6.5,0.64
242,Heather Kirkland,US Robotics 56K V.92 External Faxmodem,Computer Peripherals,Northwest Territories,27111,-127.56,99.99,19.99,0.52
243,Heather Kirkland,Fellowes Staxonsteel® Drawer Files,Storage & Organization,Northwest Territories,27111,282.18,193.17,19.99,0.71
244,Heather Kirkland,Accessory39,Telephones and Communication,Northwest Territories,27111,-96.34,20.99,3.3,0.81
245,Henry Goldwyn,Telescoping Adjustable Floor Lamp,Office Furnishings,Northwest Territories,27264,44.54,19.99,11.17,0.6
246,Frank Price,Canon MP41DH Printing Calculator,Office Machines,Northwest Territories,27392,2509.52,150.98,13.99,0.38
247,Jim Radford,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Storage & Organization,Northwest Territories,27553,1166.93,370.98,99,0.65
248,Jim Radford,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Telephones and Communication,Northwest Territories,27553,297.11,179.99,13.99,0.57
249,Ralph Knight,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Paper,Northwest Territories,27555,65.41,6.74,1.72,0.35
250,Delfina Latchford,Belkin 6 Outlet Metallic Surge Strip,Appliances,Northwest Territories,27680,-46.98,10.89,4.5,0.59
251,Delfina Latchford,Xerox 21,Paper,Northwest Territories,27680,-46.89,6.48,6.6,0.37
252,Roy Skaria,GBC DocuBind TL200 Manual Binding Machine,Binders and Binder Accessories,Northwest Territories,27778,-105.14,223.98,15.01,0.38
253,Roy Skaria,"Sauder Forest Hills Library, Woodland Oak Finish",Bookcases,Northwest Territories,27778,-393.96,140.98,36.09,0.77
254,Monica Federle,Xerox 1940,Paper,Northwest Territories,27909,-23.24,54.96,10.75,0.36
255,Monica Federle,Bagged Rubber Bands,Rubber Bands,Northwest Territories,27909,-24.86,1.26,0.7,0.81
256,Charles McCrossin,Xerox 1897,Paper,Northwest Territories,28003,-95.92,4.98,6.07,0.36
257,Don Miller,Poly Designer Cover & Back,Binders and Binder Accessories,Northwest Territories,28035,89.56,18.99,5.23,0.37
258,Jeremy Lonsdale,Bionaire Personal Warm Mist Humidifier/Vaporizer,Appliances,Northwest Territories,28135,520.69,46.89,5.1,0.46
259,Jeremy Lonsdale,"Acme® 8"" Straight Scissors","Scissors, Rulers and Trimmers",Northwest Territories,28135,38.23,12.98,3.14,0.6
260,Grant Carroll,Heavy-Duty E-Z-D® Binders,Binders and Binder Accessories,Northwest Territories,28165,-12.8,10.91,2.99,0.38
261,Carl Ludwig,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Paper,Northwest Territories,28289,-46.03,4.98,4.75,0.36
262,Carlos Daly,Deluxe Rollaway Locking File with Drawer,Storage & Organization,Northwest Territories,28486,-517.47,415.88,11.37,0.57
263,Ralph Knight,252,Telephones and Communication,Northwest Territories,28675,4.39,65.99,5.92,0.55
264,Cindy Schnelling,6160,Telephones and Communication,Northwest Territories,28870,822.4,115.99,2.5,0.57
265,Claudia Miner,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,Northwest Territories,28871,-56.12,5.02,5.14,0.79
266,Roy Skaria,Prismacolor Color Pencil Set,Pens & Art Supplies,Northwest Territories,29030,24.6,19.84,4.1,0.44
267,Delfina Latchford,Wilson Jones DublLock® D-Ring Binders,Binders and Binder Accessories,Northwest Territories,29095,54.46,6.75,2.99,0.35
268,Edward Hooks,Binder Posts,Binders and Binder Accessories,Northwest Territories,29287,-106.4,5.74,5.01,0.39
269,Edward Hooks,Epson LQ-570e Dot Matrix Printer,Office Machines,Northwest Territories,29287,2699.67,270.97,28.06,0.56
270,Don Miller,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,Northwest Territories,29510,1292.44,260.98,41.91,0.59
271,Grant Carroll,Fellowes PB300 Plastic Comb Binding Machine,Binders and Binder Accessories,Northwest Territories,29795,8793.54,387.99,19.99,0.38
272,Grant Carroll,Rush Hierlooms Collection Rich Wood Bookcases,Bookcases,Northwest Territories,29795,813.83,160.98,35.02,0.72
273,Brad Eason,Avery 481,Labels,Northwest Territories,29861,5.58,3.08,0.99,0.37
274,Charles McCrossin,Sharp AL-1530CS Digital Copier,Copiers and Fax,Northwest Territories,30658,6907.61,499.99,24.49,0.36
275,Charles McCrossin,"SAFCO Commercial Wire Shelving, Black",Storage & Organization,Northwest Territories,30658,-942.5,138.14,35,
276,Charles McCrossin,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Binders and Binder Accessories,Northwest Territories,30947,261.24,41.94,2.99,0.35
277,Charles McCrossin,Self-Adhesive Address Labels for Typewriters by Universal,Labels,Northwest Territories,30947,183.53,7.31,0.49,0.38
278,Bryan Mills,StarTAC Series,Telephones and Communication,Northwest Territories,31077,470.83,65.99,3.9,0.55
279,Monica Federle,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,Northwest Territories,31111,-29.02,7.64,5.83,0.36
280,Michelle Lonsdale,Dana Halogen Swing-Arm Architect Lamp,Office Furnishings,Northwest Territories,31169,109.88,40.97,14.45,0.57
281,Michelle Lonsdale,Global Comet™ Stacking Armless Chair,Chairs & Chairmats,Northwest Territories,31270,801.72,299.05,87.01,0.57
282,Michelle Lonsdale,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Chairs & Chairmats,Northwest Territories,31270,-328.36,291.73,48.8,0.56
283,Michelle Lonsdale,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,Northwest Territories,31270,-112.44,30.42,8.65,0.74
284,Beth Thompson,Deluxe Rollaway Locking File with Drawer,Storage & Organization,Northwest Territories,31364,-539.59,415.88,11.37,0.57
285,Cindy Schnelling,Luxo Economy Swing Arm Lamp,Office Furnishings,Northwest Territories,31393,-27.31,19.94,14.87,0.57
286,Cindy Schnelling,"*Staples* vLetter Openers, 2/Pack","Scissors, Rulers and Trimmers",Northwest Territories,31393,-32.65,3.68,1.32,0.83
287,Nicole Hansen,Staples 6 Outlet Surge,Appliances,Northwest Territories,31492,-12.25,11.97,4.98,0.58
288,Nicole Hansen,Acco Perma® 2700 Stacking Storage Drawers,Storage & Organization,Northwest Territories,31492,-21.1,29.74,6.64,0.7
289,Nicole Hansen,Fellowes Stor/Drawer® Steel Plus™ Storage Drawers,Storage & Organization,Northwest Territories,31492,-235.56,95.43,19.99,0.79
290,Cari Schnelling,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances,Northwest Territories,31558,900.06,300.65,24.49,0.52
291,Cari Schnelling,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Computer Peripherals,Northwest Territories,31558,455.37,45.19,1.99,0.55
292,Roy Skaria,Lock-Up Easel 'Spel-Binder',Binders and Binder Accessories,Northwest Territories,31618,147.45,28.53,1.49,0.38
293,Susan Vittorini,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Paper,Northwest Territories,31684,23.48,5.68,1.46,0.39
294,Susan Vittorini,"Tenex File Box, Personal Filing Tote with Lid, Black",Storage & Organization,Northwest Territories,31684,-328.18,15.51,17.78,0.59
295,Sylvia Foulston,Fellowes Black Plastic Comb Bindings,Binders and Binder Accessories,Northwest Territories,31781,-282.61,5.81,8.49,0.39
296,Sylvia Foulston,Assorted Color Push Pins,Rubber Bands,Northwest Territories,31781,5.53,1.81,0.75,0.52
297,Chad Cunningham,HP Office Paper (20Lb. and 87 Bright),Paper,Northwest Territories,32193,-10.25,6.68,6.93,0.37
298,Chad Cunningham,Staples Vinyl Coated Paper Clips,Rubber Bands,Northwest Territories,32193,37.33,3.93,0.99,0.39
299,Carlos Daly,Canon MP41DH Printing Calculator,Office Machines,Northwest Territories,32229,44.37,150.98,13.99,0.38
300,Carlos Daly,Newell 310,Pens & Art Supplies,Northwest Territories,32229,-0.12,1.76,0.7,0.56
301,Grant Carroll,Kensington 7 Outlet MasterPiece Power Center,Appliances,Northwest Territories,32743,1280.19,177.98,0.99,0.56
302,Julia West,"DAX Metal Frame, Desktop, Stepped-Edge",Office Furnishings,Northwest Territories,32806,-28.34,20.24,8.99,0.46
303,Roy Skaria,Bush Mission Pointe Library,Bookcases,Northwest Territories,33123,-996.67,150.98,66.27,0.65
304,Cindy Schnelling,Accessory21,Telephones and Communication,Northwest Territories,33159,-70.97,20.99,0.99,0.37
305,Don Jones,8860,Telephones and Communication,Northwest Territories,33186,221.18,65.99,5.26,0.56
306,Beth Thompson,Array® Memo Cubes,Paper,Northwest Territories,33377,11.94,5.18,2.04,0.36
307,Beth Thompson,"Fiskars 8"" Scissors, 2/Pack","Scissors, Rulers and Trimmers",Northwest Territories,33377,47.3,17.24,3.26,0.56
308,Alan Barnes,12 Colored Short Pencils,Pens & Art Supplies,Northwest Territories,33444,-17.68,2.6,2.4,0.58
309,Alan Barnes,Pizazz® Global Quick File™,Storage & Organization,Northwest Territories,33444,-30.48,14.97,7.51,0.57
310,Carl Ludwig,Imation 5.2GB DVD-RAM,Computer Peripherals,Northwest Territories,33703,-131.48,60.98,1.99,0.5
311,Carl Ludwig,Acco Perma® 2700 Stacking Storage Drawers,Storage & Organization,Northwest Territories,33703,56.26,29.74,6.64,0.7
312,Carl Ludwig,Portable Personal File Box,Storage & Organization,Northwest Territories,33703,-8.47,12.21,4.81,0.58
313,Jamie Kunitz,"Snap-A-Way® Black Print Carbonless Speed Message, No Reply Area, Duplicate",Paper,Northwest Territories,33734,106.53,29.14,4.86,0.38
314,Heather Kirkland,Ibico Covers for Plastic or Wire Binding Elements,Binders and Binder Accessories,Northwest Territories,33888,-44.92,11.5,7.19,0.4
315,Heather Kirkland,Hanging Personal Folder File,Storage & Organization,Northwest Territories,33888,-35.08,15.7,11.25,0.6
316,Heather Kirkland,Tennsco Double-Tier Lockers,Storage & Organization,Northwest Territories,33888,965.48,225.02,28.66,0.72
317,Doug Bickford,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Paper,Northwest Territories,33894,11.34,9.27,4.39,0.38
318,Doug Bickford,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut","Scissors, Rulers and Trimmers",Northwest Territories,33894,-32.48,6.84,8.37,0.58
319,Doug Bickford,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,Northwest Territories,33894,-173.15,4.98,4.62,0.64
320,Doug Bickford,PC Concepts 116 Key Quantum 3000 Keyboard,Computer Peripherals,Northwest Territories,33894,-119.02,32.98,5.5,0.75
321,Carlos Daly,Epson Stylus 1520 Color Inkjet Printer,Office Machines,Northwest Territories,33922,5353.19,500.97,69.3,0.37
322,Toby Braunhardt,Avery 494,Labels,Northwest Territories,34177,9.47,2.61,0.5,0.39
323,Toby Braunhardt,Self-Adhesive Address Labels for Typewriters by Universal,Labels,Northwest Territories,34177,73.18,7.31,0.49,0.38
324,Toby Braunhardt,Accessory37,Telephones and Communication,Northwest Territories,34177,-83.95,20.99,2.5,0.81
325,Cari Schnelling,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Binders and Binder Accessories,Northwest Territories,34215,-5.92,5.34,2.99,0.38
326,Thomas Seio,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Appliances,Northwest Territories,34246,-257.11,4.06,6.89,0.6
327,Thomas Seio,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Office Machines,Northwest Territories,34246,192.33,99.99,19.99,0.52
328,Thomas Seio,"Peel & Seel® Recycled Catalog Envelopes, Brown",Envelopes,Northwest Territories,34246,1.91,11.58,6.97,0.35
329,Brendan Dodson,Cardinal Poly Pocket Divider Pockets for Ring Binders,Binders and Binder Accessories,Northwest Territories,34631,-22.28,3.36,6.27,0.4
330,Brendan Dodson,Canon PC1060 Personal Laser Copier,Copiers and Fax,Northwest Territories,34631,2808.22,699.99,24.49,0.41
331,Charlotte Melton,Sterling Rubber Bands by Alliance,Rubber Bands,Northwest Territories,35047,-7.06,4.71,0.7,0.85
332,Beth Thompson,Newell 312,Pens & Art Supplies,Northwest Territories,35266,33.5,5.84,1.2,0.55
333,Beth Thompson,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Tables,Northwest Territories,35266,-998.94,218.75,69.64,0.77
334,Eugene Barchas,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Computer Peripherals,Northwest Territories,35847,-144.27,15.98,8.99,0.64
335,Michelle Lonsdale,"Avery Flip-Chart Easel Binder, Black",Binders and Binder Accessories,Northwest Territories,36001,-78.36,22.38,15.1,0.38
336,Michelle Lonsdale,GBC Binding covers,Binders and Binder Accessories,Northwest Territories,36001,51.82,12.95,4.98,0.4
337,Grant Carroll,R280,Telephones and Communication,Northwest Territories,36134,-413.33,155.99,8.99,0.55
338,Beth Paige,Accessory9,Telephones and Communication,Northwest Territories,36135,381.17,35.99,3.3,0.39
339,Dorothy Wardle,U.S. Robotics 56K Internet Call Modem,Computer Peripherals,Northwest Territories,36644,218.72,99.99,19.99,0.5
340,Muhammed MacIntyre,Tennsco Industrial Shelving,Storage & Organization,Northwest Territories,36646,-743.96,48.91,35,0.83
341,Charlotte Melton,Staples Bulldog Clip,Rubber Bands,Northwest Territories,36707,71.56,3.78,0.71,0.39
342,Muhammed MacIntyre,"Micro Innovations Micro 3000 Keyboard, Black",Computer Peripherals,Northwest Territories,37253,-99.55,26.31,5.89,0.75
343,Claudia Miner,"Fellowes Basic 104-Key Keyboard, Platinum",Computer Peripherals,Northwest Territories,37541,-70.68,20.95,5.99,0.65
344,Claudia Miner,Xerox 1882,Paper,Northwest Territories,37541,98.32,55.98,13.88,0.36
345,Claudia Miner,Carina Double Wide Media Storage Towers in Natural & Black,Storage & Organization,Northwest Territories,37541,-599.54,80.98,35,0.81
346,Brendan Dodson,Portable Personal File Box,Storage & Organization,Northwest Territories,37634,-36.78,12.21,4.81,0.58
347,Dorothy Wardle,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L","Scissors, Rulers and Trimmers",Northwest Territories,37793,-49.31,13.9,7.59,0.56
348,Mike Pelletier,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Office Furnishings,Northwest Territories,37860,-98.31,55.5,52.2,0.72
349,Edward Hooks,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Paper,Northwest Territories,38884,-119.84,5.28,5.66,0.4
350,Edward Hooks,Hon 94000 Series Round Tables,Tables,Northwest Territories,38884,-98.05,296.18,54.12,0.76
351,Jamie Kunitz,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Office Furnishings,Northwest Territories,39364,-1.33,92.23,39.61,0.67
352,Jamie Kunitz,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Binders and Binder Accessories,Northwest Territories,39364,8417.57,1270.99,19.99,0.35
353,Julia West,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,Northwest Territories,39457,-1975.26,122.99,70.2,0.74
354,Jeremy Lonsdale,Poly Designer Cover & Back,Binders and Binder Accessories,Northwest Territories,39683,168,18.99,5.23,0.37
355,Jeremy Lonsdale,"Lifetime Advantage™ Folding Chairs, 4/Carton",Chairs & Chairmats,Northwest Territories,39683,2113.95,218.08,18.06,0.57
356,Jeremy Lonsdale,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Office Furnishings,Northwest Territories,39683,66.97,20.24,6.67,0.49
357,Jeremy Lonsdale,Stockwell Push Pins,Rubber Bands,Northwest Territories,39683,6.37,2.18,0.78,0.52
358,Cindy Schnelling,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,Northwest Territories,39846,-62.73,4.98,4.62,0.64
359,Heather Kirkland,8260,Telephones and Communication,Northwest Territories,40036,-147.36,65.99,8.99,0.58
360,Alan Barnes,3390,Telephones and Communication,Northwest Territories,40067,519.25,65.99,5.31,0.57
361,Hunter Glantz,"Global Deluxe Stacking Chair, Gray",Chairs & Chairmats,Northwest Territories,40132,149.83,50.98,14.19,0.56
362,Hunter Glantz,Bevis 36 x 72 Conference Tables,Tables,Northwest Territories,40132,-219.38,124.49,51.94,0.63
363,Hunter Glantz,"Avery Flip-Chart Easel Binder, Black",Binders and Binder Accessories,Northwest Territories,40132,-86.2,22.38,15.1,0.38
364,Julia West,"Howard Miller 16"" Diameter Gallery Wall Clock",Office Furnishings,Northwest Territories,40160,202.87,63.94,14.48,0.46
365,Carlos Daly,"ACCOHIDE® 3-Ring Binder, Blue, 1""",Binders and Binder Accessories,Northwest Territories,40518,-12.16,4.13,5.04,0.38
366,Barry French,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,Northwest Territories,40804,-1775.83,122.99,70.2,0.74
367,Susan Vittorini,"Wilson Jones Hanging View Binder, White, 1""",Binders and Binder Accessories,Northwest Territories,40902,-48.88,7.1,6.05,0.39
368,Carl Jackson,Boston 1730 StandUp Electric Pencil Sharpener,Pens & Art Supplies,Northwest Territories,41063,-34.09,21.38,8.99,0.59
369,Carl Jackson,Accessory31,Telephones and Communication,Northwest Territories,41063,42.27,35.99,0.99,0.35
370,Carl Jackson,Accessory8,Telephones and Communication,Northwest Territories,41063,822.89,85.99,1.25,0.39
371,Alan Barnes,Fellowes 17-key keypad for PS/2 interface,Computer Peripherals,Northwest Territories,41153,-45.1,30.73,4,0.75
372,Charlotte Melton,Hanging Personal Folder File,Storage & Organization,Northwest Territories,41184,-56.06,15.7,11.25,0.6
373,Beth Thompson,Ibico Covers for Plastic or Wire Binding Elements,Binders and Binder Accessories,Northwest Territories,41409,-18.25,11.5,7.19,0.4
374,Bryan Mills,Hoover Portapower™ Portable Vacuum,Appliances,Northwest Territories,41696,-2088.68,4.48,49,0.6
375,Alan Barnes,Fellowes Command Center 5-outlet power strip,Appliances,Northwest Territories,42209,-12.82,67.84,0.99,0.58
376,Alan Barnes,SAFCO Arco Folding Chair,Chairs & Chairmats,Northwest Territories,42209,2795.36,276.2,24.49,
377,Beth Paige,Accessory12,Telephones and Communication,Northwest Territories,42561,298.48,85.99,2.5,0.35
378,Mike Pelletier,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Chairs & Chairmats,Northwest Territories,42564,2155.41,200.98,23.76,0.58
379,Delfina Latchford,3390,Telephones and Communication,Northwest Territories,42695,-10.3,65.99,5.31,0.57
380,Susan Vittorini,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,Northwest Territories,42981,232.44,896.99,19.99,0.38
381,Dorothy Wardle,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Binders and Binder Accessories,Northwest Territories,43109,-21.85,15.01,8.4,0.39
382,Dorothy Wardle,Microsoft Internet Keyboard,Computer Peripherals,Northwest Territories,43109,-145.78,20.97,6.5,0.78
383,Dorothy Wardle,TDK 4.7GB DVD-R,Computer Peripherals,Northwest Territories,43109,-3.96,10.01,1.99,0.41
384,Susan Vittorini,Xerox 1977,Paper,Northwest Territories,43203,-33.69,6.68,5.2,0.37
385,Jamie Kunitz,DAX Solid Wood Frames,Office Furnishings,Northwest Territories,43236,10.68,9.77,6.02,0.48
386,Fred Wasserman,Honeywell Enviracaire® Portable Air Cleaner for up to 8 x 10 Room,Appliances,Northwest Territories,43267,171.26,76.72,19.95,0.54
387,Doug Bickford,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Appliances,Northwest Territories,43329,752.37,59.98,3.99,0.57
388,Fred Wasserman,8260,Telephones and Communication,Northwest Territories,43330,337.04,65.99,8.99,0.58
389,Susan Vittorini,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Envelopes,Northwest Territories,43364,158.98,23.99,6.71,0.35
390,Doug Bickford,Multimedia Mailers,Envelopes,Northwest Territories,43392,2969.81,162.93,19.99,0.39
391,Claudia Miner,"White Business Envelopes with Contemporary Seam, Recycled White Business Envelopes",Envelopes,Northwest Territories,43781,240.41,10.94,1.39,0.35
392,Claudia Miner,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders and Binder Accessories,Northwest Territories,43781,393.41,40.98,2.99,0.36
393,Frank Price,"DXL™ Angle-View Binders with Locking Rings, Black",Binders and Binder Accessories,Northwest Territories,44071,-43.75,5.99,4.92,0.38
394,Frank Price,8260,Telephones and Communication,Northwest Territories,44071,83.84,65.99,8.99,0.58
395,Dorothy Wardle,Newell® 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Binders and Binder Accessories,Northwest Territories,44519,-144.76,4.57,5.42,0.37
396,Dorothy Wardle,Laser & Ink Jet Business Envelopes,Envelopes,Northwest Territories,44519,155.69,10.67,1.39,0.39
397,Dorothy Wardle,Okidata ML390 Turbo Dot Matrix Printers,Office Machines,Northwest Territories,44519,5386.32,442.14,14.7,0.56
398,Allen Rosenblatt,"Eldon Regeneration Recycled Desk Accessories, Smoke",Office Furnishings,Northwest Territories,44708,-37.39,1.74,4.08,0.53
399,Dorothy Wardle,Accessory36,Telephones and Communication,Northwest Territories,44772,-232.99,55.99,5,0.83
400,Julia West,"Linden® 12"" Wall Clock With Oak Frame",Office Furnishings,Northwest Territories,44839,-246.3,33.98,19.99,0.55
401,Ralph Knight,2160i,Telephones and Communication,Northwest Territories,45217,1864.66,200.99,4.2,0.59
402,Michelle Lonsdale,Global Deluxe High-Back Office Chair in Storm,Chairs & Chairmats,Northwest Territories,45440,-183.6,135.99,28.63,0.76
403,Charlotte Melton,"Howard Miller 16"" Diameter Gallery Wall Clock",Office Furnishings,Northwest Territories,45766,1026.07,63.94,14.48,0.46
404,Charlotte Melton,Canon MP100DHII Printing Calculator,Office Machines,Northwest Territories,45766,1765.48,140.99,13.99,0.37
405,Allen Rosenblatt,Accessory21,Telephones and Communication,Northwest Territories,45861,319.1,20.99,0.99,0.37
406,Neola Schneider,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,Northwest Territories,45957,162.83,39.24,1.99,0.51
407,Neola Schneider,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Paper,Northwest Territories,45957,-30.92,7.64,5.83,0.36
408,Joy Bell,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro® Back, 8-1/2x11, 25/Bx",Office Furnishings,Northwest Territories,46912,181.53,54.74,14.83,0.54
409,Monica Federle,Avery 51,Labels,Northwest Territories,46980,103.16,6.3,0.5,0.39
410,Jamie Kunitz,SANFORD Liquid Accent™ Tank-Style Highlighters,Pens & Art Supplies,Northwest Territories,47460,-3.64,2.84,0.93,0.54
411,Susan Vittorini,Avery Poly Binder Pockets,Binders and Binder Accessories,Northwest Territories,47462,-166.92,3.58,5.47,0.37
412,Susan Vittorini,"Dixon My First Ticonderoga Pencil, #2",Pens & Art Supplies,Northwest Territories,47462,-1.22,5.85,2.27,0.56
413,Susan Vittorini,Acco® Hot Clips™ Clips to Go,Rubber Bands,Northwest Territories,47462,21.62,3.29,1.35,0.4
414,Charles McCrossin,Fiskars® Softgrip Scissors,"Scissors, Rulers and Trimmers",Northwest Territories,47620,20.27,10.98,3.37,0.57
415,Cari Schnelling,"Elite 5"" Scissors","Scissors, Rulers and Trimmers",Northwest Territories,47749,-188.53,8.45,7.77,0.55
416,Doug Bickford,Eldon Wave Desk Accessories,Office Furnishings,Northwest Territories,47873,-17.38,5.89,5.57,0.41
417,Don Miller,Avery 478,Labels,Northwest Territories,47943,24.06,4.91,0.5,0.36
418,Don Miller,Boston 16701 Slimline Battery Pencil Sharpener,Pens & Art Supplies,Northwest Territories,47943,63.46,15.94,5.45,0.55
419,Fred Wasserman,Xerox 1982,Paper,Northwest Territories,48101,-39.92,22.84,16.87,0.39
420,Bryan Mills,"Soundgear Copyboard Conference Phone, Optional Battery",Office Machines,Northwest Territories,48295,4938.78,204.1,13.99,0.37
421,Carlos Daly,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",Labels,Northwest Territories,48839,-37.06,98.31,0.49,0.36
422,Joy Bell,Euro Pro Shark Stick Mini Vacuum,Appliances,Northwest Territories,49154,-807.89,60.98,49,0.59
423,Claudia Miner,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,Northwest Territories,49921,-280.28,145.45,17.85,0.56
424,Claudia Miner,Recycled Eldon Regeneration Jumbo File,Storage & Organization,Northwest Territories,49921,-7.26,12.28,6.13,0.57
